Lat,lng,time
34.06882433,-118.44781837,1487967797039
34.06882471,-118.44780633,1487967798042
34.06882426,-118.44779669,1487967799055
34.06882116,-118.44778253,1487967800057
34.06881654,-118.44776507,1487967801036
34.06881269,-118.4477516,1487967802029
34.06880869,-118.44774015,1487967803032
34.06880539,-118.44773382,1487967804044
34.0688043,-118.44772043,1487967805101
34.06879965,-118.44770206,1487967806137
34.06879571,-118.44768355,1487967807208
34.0687927,-118.44766536,1487967808227
34.06879422,-118.44764481,1487967809169
34.06879388,-118.44762357,1487967810182
34.06879083,-118.44760819,1487967811063
34.0687899,-118.44759346,1487967812159
34.06879088,-118.44758173,1487967813163
34.06879048,-118.44756957,1487967814212
34.06878926,-118.44756128,1487967815048
34.06878614,-118.44754805,1487967816025
34.06878364,-118.44753829,1487967817009
34.06878281,-118.447528,1487967818022
34.06878145,-118.44752046,1487967819019
34.06877935,-118.44751379,1487967820025
34.06877678,-118.44750488,1487967821069
34.06877447,-118.44749406,1487967822004
34.06877283,-118.44748158,1487967823017
34.06877193,-118.44746835,1487967824017
34.06877166,-118.44745461,1487967825022
34.06877154,-118.44744055,1487967826018
34.06877077,-118.44742628,1487967827013
34.06876763,-118.44741214,1487967828007
34.06876438,-118.44739799,1487967829006
34.06876545,-118.44738337,1487967830018
34.06876647,-118.44736866,1487967831004
34.06877052,-118.44735377,1487967832013
34.0687738,-118.44733893,1487967833007
34.06877938,-118.44732411,1487967833999
34.06878815,-118.44730943,1487967835002
34.06879433,-118.44729475,1487967836003
34.06880326,-118.44728045,1487967837000
34.06881163,-118.44726657,1487967838018
34.06883813,-118.44725667,1487967839003
34.06887096,-118.44725203,1487967840008
34.06890559,-118.4472546,1487967841013
34.06893844,-118.44726513,1487967842008
34.0689656,-118.44728102,1487967843001
34.06898668,-118.44729766,1487967844006
34.06900367,-118.4473135,1487967845004
34.06901807,-118.44732724,1487967846001
34.06903116,-118.44733822,1487967847001
34.06904313,-118.44734848,1487967848005
34.06905467,-118.44735712,1487967849004
34.06906533,-118.44736622,1487967850001
34.06907484,-118.44737701,1487967851011
34.0690843,-118.44738731,1487967852031
34.06909126,-118.44740212,1487967853030
34.0690934,-118.44739388,1487967854033
34.06908896,-118.44737355,1487967855005
34.06908744,-118.44735144,1487967856011
34.0690879,-118.44732913,1487967857007
34.06908947,-118.44730744,1487967858005
34.0690933,-118.44728587,1487967859010
34.06909653,-118.44726644,1487967860015
34.06910102,-118.44724719,1487967861015
34.06910304,-118.44722959,1487967862006
34.06911248,-118.44721016,1487967863020
34.06912041,-118.44719237,1487967864026
34.06913015,-118.44717525,1487967865010
34.06914178,-118.44715929,1487967866002
34.06915491,-118.44714467,1487967867014
34.06916599,-118.44713087,1487967868018
34.06917795,-118.44711795,1487967869001
34.06918824,-118.44710534,1487967870007
34.06919504,-118.44709213,1487967871005
34.06920123,-118.44707887,1487967872006
34.06921226,-118.44706773,1487967873012
34.06922644,-118.4470588,1487967874010
34.06924171,-118.44705115,1487967875000
34.0692548,-118.44704267,1487967876008
34.06926227,-118.44703075,1487967877000
34.06926541,-118.44701593,1487967878147
34.0692689,-118.44700133,1487967879030
34.06927887,-118.44681034,1487967911059
34.06925948,-118.44675303,1487967912037
34.06922914,-118.44668589,1487967913039
34.06921611,-118.44664518,1487967914048
34.06910757,-118.4464545,1487967915089
34.06910254,-118.44642043,1487967916053
34.06909176,-118.44638375,1487967917041
34.06907722,-118.44634129,1487967918040
34.06905864,-118.44629202,1487967919039
34.06904089,-118.44624568,1487967920048
34.06902596,-118.44620277,1487967921073
34.06901399,-118.44616423,1487967922024
34.06900067,-118.44612711,1487967923027
34.06898866,-118.4460909,1487967924032
34.06898345,-118.44606094,1487967925018
34.06898001,-118.44602638,1487967926025
34.06897422,-118.44599324,1487967927020
34.06897213,-118.44598427,1487967928027
34.06897789,-118.44597195,1487967929036
34.06897666,-118.44594575,1487967930031
34.06897233,-118.4459225,1487967931024
34.06895986,-118.44589857,1487967932037
34.06894587,-118.44587503,1487967933030
34.06893348,-118.4458538,1487967934042
34.06892185,-118.44582743,1487967935033
34.06891411,-118.44580639,1487967936039
34.06890578,-118.44578936,1487967937056
34.06889917,-118.44576885,1487967938051
34.06889423,-118.44574936,1487967939045
34.06888611,-118.4457484,1487967940043
34.06887544,-118.44575752,1487967941032
34.068865,-118.44576416,1487967942048
34.06886038,-118.44576317,1487967943097
34.06886035,-118.44574336,1487967944055
34.06885685,-118.44572056,1487967945034
34.06885015,-118.4456999,1487967946041
34.06884917,-118.44568064,1487967947039
34.06885054,-118.44566281,1487967948031
34.06885379,-118.44564397,1487967949043
34.06885729,-118.44562474,1487967950051
34.06885775,-118.44560643,1487967951038
